Date,Open,High,Low,Close,Volume,Open_N,High_N,Low_N,Close_N,Volume_N
2007-02-27,12628.9,12629.4,12086,12216.2,393298912,0.516813746,0.508496575,0.475831193,0.481851778,0.510294216
2007-02-28,12214.9,12353.5,12186,12268.6,412818368,0.481633746,0.484797389,0.484303895,0.486305538,0.537989334
2007-03-01,12265.6,12289.2,12059.5,12234.3,372009920,0.485942021,0.479274164,0.473585927,0.483390195,0.480088398
2007-03-02,12233.8,12247.4,12107.4,12114.1,315182304,0.483239789,0.475683639,0.477644352,0.473173746,0.399458716
2007-03-05,12111.6,12188.8,12039.1,12050.4,278770848,0.472855741,0.470650031,0.471857496,0.467759538,0.347796437
2007-03-06,12051.2,12224.4,12050.6,12207.6,278809728,0.4677232,0.473707991,0.472831857,0.481120818,0.347851602
2007-03-07,12204.5,12256.9,12179,12192.5,263543408,0.480749997,0.476499667,0.483710806,0.479837387,0.326191033
2007-03-08,12193.3,12303.6,12193.3,12260.7,241066864,0.479798267,0.480511092,0.484922403,0.485634074,0.29430026
2007-03-09,12262,12330.9,12228.5,12276.3,211035248,0.485636108,0.4828561,0.487904794,0.486960003,0.251689997
2007-03-12,12275.7,12350,12246.5,12318.6,219581392,0.486800277,0.484496747,0.48942988,0.490555309,0.263815666
2007-03-13,12307.5,12307.6,12072,12076,312343232,0.489502509,0.480854683,0.474645015,0.46993542,0.395430507
2007-03-14,12074.5,12142.9,11939.6,12133.4,333450816,0.469703137,0.466707325,0.463427157,0.474814158,0.425378936
2007-03-15,12133.2,12188.1,12105.9,12159.7,232601296,0.474691219,0.470589903,0.477517261,0.477049537,0.282288915
2007-03-16,12160.2,12190.4,12082.1,12110.4,388659712,0.476985567,0.470787468,0.475500758,0.472859263,0.503711902
2007-03-19,12110.4,12234.7,12110.4,12226.2,208478416,0.47275377,0.474592737,0.477898533,0.482701732,0.248062244
2007-03-20,12226.8,12294,12213.1,12288.1,196618048,0.482644958,0.479686473,0.486599998,0.487962949,0.231234199
2007-03-21,12289,12479.7,12263.5,12447.5,245997568,0.487930456,0.495637683,0.49087024,0.501511219,0.301296173
2007-03-22,12446.7,12476.2,12408.7,12461.1,232691232,0.501331147,0.495337041,0.503172603,0.502667156,0.282416521
2007-03-23,12460.5,12511,12448.7,12481,206410848,0.502503813,0.498326283,0.506561684,0.504358565,0.245128682
2007-03-26,12480.4,12486.8,12367.2,12469.1,219957024,0.504194833,0.496247557,0.499656432,0.50334712,0.26434863
2007-03-27,12468.6,12468.7,12377.3,12397.3,209030960,0.503192118,0.494692808,0.500512175,0.497244449,0.248846219
2007-03-28,12396.5,12396.5,12257.4,12300.4,224830896,0.497065359,0.488490991,0.490353405,0.489008392,0.271263908
2007-03-29,12301.5,12381.9,12267.6,12348.8,208156272,0.488992654,0.487236884,0.491217621,0.493122171,0.247605171
2007-03-30,12348.9,12416.7,12242.6,12354.3,233625872,0.493020509,0.490226126,0.489099445,0.493589646,0.283742632
2007-04-02,12354.5,12395,12324.3,12382.3,209419856,0.493496374,0.488362145,0.496021643,0.495969517,0.249398003
2007-04-03,12379,12534.3,12379,12510.3,220474801,0.495578282,0.5003277,0.500656211,0.506848931,0.265083277
2007-04-04,12511.4,12541.5,12495.8,12530,210134288,0.506829084,0.500946164,0.510552327,0.508523341,0.250411673
2007-04-05,12523.2,12572.5,12500.4,12560.2,164930779,0.507831799,0.503608993,0.510942071,0.511090202,0.186274818
2007-04-09,12562.6,12593.6,12555.3,12569.1,191590453,0.511179847,0.505421436,0.515593585,0.511846661,0.224100812
2007-04-10,12568.5,12588.5,12549.5,12573.8,214688190,0.511681205,0.504983357,0.515102168,0.51224614,0.256872962
2007-04-11,12573.1,12580,12456.7,12484.6,245474673,0.512072094,0.504253227,0.5072395,0.504664549,0.300554265
2007-04-12,12483.6,12557.3,12428.2,12553,218301399,0.504466755,0.502303348,0.50482478,0.510478235,0.261999552
2007-04-13,12551.9,12615.4,12530.2,12612.1,224235268,0.510270606,0.507294006,0.513466937,0.515501464,0.270418803
2007-04-16,12611.6,12731.2,12611.3,12720.5,225023628,0.515343664,0.517240965,0.520338298,0.524714968,0.271537365
2007-04-17,12719.5,12790,12707.5,12773,256883140,0.524512557,0.522291752,0.528489038,0.529177227,0.316741132
2007-04-18,12771.1,12838.5,12729,12803.8,261947237,0.528897311,0.526457792,0.530310669,0.531795086,0.32392631
2007-04-19,12799.8,12830.1,12734.9,12808.6,262594642,0.531336118,0.525736251,0.530810558,0.532203064,0.324844879
2007-04-20,12811.2,12966.3,12810.2,12962,415649122,0.532304842,0.537435523,0.537190503,0.545241361,0.54200574
2007-04-23,12961.5,12983.9,12916.6,12919.4,223280400,0.545076712,0.538947323,0.546205458,0.541620557,0.269063992
2007-04-24,12919.6,12989.9,12901.7,12953.9,238385477,0.541516224,0.53946271,0.544943025,0.544552899,0.290495782
2007-04-25,12951.4,13107.5,12951.4,13089.9,250170087,0.544218456,0.549564284,0.549153958,0.556112276,0.307216339
2007-04-26,13088.8,13132.8,13068.1,13105.5,251623466,0.555894137,0.551737497,0.559041602,0.557438204,0.309278461
2007-04-27,13104,13148,13073.4,13120.9,270913217,0.55718577,0.553043142,0.559490655,0.558747134,0.336647663
2007-04-30,13120.2,13162,13061.5,13062.9,264088937,0.558562379,0.55424571,0.558482403,0.553817399,0.326965055
2007-05-01,13062.8,13137.8,13041.3,13136.1,248962386,0.553684765,0.552166985,0.556770918,0.560039064,0.305502796
2007-05-02,13133.9,13256.3,13130.5,13211.9,251341905,0.559726548,0.562345867,0.564328568,0.566481717,0.308878969
2007-05-03,13206.7,13246.8,13196,13241.4,247244145,0.565912789,0.561529839,0.569878188,0.568989081,0.303064875
2007-05-04,13243.1,13284.5,13228.8,13264.6,236322926,0.56900591,0.564768183,0.572657234,0.570960975,0.287569338
2007-05-07,13264.1,13317.7,13260.8,13313,206190047,0.570790403,0.567619988,0.575368499,0.575074753,0.244815399
2007-05-08,13309.4,13314.4,13237.5,13309.1,225598360,0.574639809,0.567336526,0.573394359,0.574743271,0.272352822
2007-05-09,13300.6,13369.3,13278.3,13362.9,237035181,0.573892021,0.572052312,0.576851222,0.579316025,0.288579919
2007-05-10,13359,13359.1,13210.9,13215.1,224638389,0.578854611,0.571176155,0.571140621,0.566753702,0.27099077
2007-05-11,13212.2,13333.5,13212,13326.2,210572068,0.566380156,0.568977173,0.57123382,0.576196693,0.251032815
2007-05-14,13325.8,13383.8,13297,13346.8,199624937,0.576033413,0.573297829,0.578435617,0.577947599,0.235500514
2007-05-15,13346,13481.6,13339.5,13383.8,265254625,0.577749925,0.581698628,0.582036516,0.581092429,0.328618987
2007-05-16,13374.1,13489.6,13363.9,13487.5,237787876,0.580137746,0.58238581,0.584103855,0.589906454,0.289647878
2007-05-17,13487,13516.7,13447.8,13476.7,195808813,0.589731519,0.584713638,0.591212452,0.588988504,0.230086018
2007-05-18,13476.4,13558.5,13476.4,13556.5,282935856,0.588830775,0.588304164,0.593635645,0.595771138,0.353705946
2007-05-21,13556.5,13586,13529.1,13542.9,215544696,0.59563734,0.590666352,0.598100759,0.5946152,0.258088213
2007-05-22,13545,13586.7,13529,13540,201292752,0.594660118,0.59072648,0.598092286,0.594368714,0.237866888
2007-05-23,13540.8,13609.8,13505.2,13525.7,208261541,0.594303219,0.592710718,0.596075783,0.593153279,0.247754532
2007-05-24,13522.6,13624.5,13423.9,13441.1,240811946,0.592756659,0.593973415,0.589187476,0.585962667,0.29393857
2007-05-25,13441.9,13516.1,13440.1,13507.3,183474839,0.585899108,0.5846621,0.590560054,0.591589363,0.212585998
2007-05-29,13507.3,13564.7,13465.3,13521.3,205621460,0.591456528,0.58883673,0.592695175,0.592779299,0.244008661
